,datasetPID,datasetPIDUrl,numberOfVersions,publicationDate,latestReleaseDate,ageOfDataset(Days),ageOfLastUpdate(Days),descriptionLenth,license,termsExist,relPubCount,relPubPIDCount,usedMetadataBlocks,numberOfFiles,noFileDescriptionCount,fileTagsExist,uniqueContentTypes,ingestedTabFilesCount,uningestedTabFilesCount,restrictedFilesCount
0,doi:10.7910/DVN/WEYEUM,https://doi.org/10.7910/DVN/WEYEUM,1,2020-10-21 18:23:49+00:00,2020-10-21 18:23:49+00:00,6,6,1292,CC0,True,0,0,citation,2,2,False,"application/x-stata-syntax,text/tab-separated-values",1,0,0
1,doi:10.7910/DVN/1GGBBK,https://doi.org/10.7910/DVN/1GGBBK,1,2020-10-19 17:53:58+00:00,2020-10-19 17:53:58+00:00,8,8,1072,CC0,True,0,0,citation,18,18,False,"application/dbf,application/pdf,application/shp,application/shx,application/x-stata-syntax,text/tab-separated-values,type/x-r-syntax",8,0,0
2,doi:10.7910/DVN/1NTFKO,https://doi.org/10.7910/DVN/1NTFKO,2,2020-10-16 19:37:42+00:00,2020-10-16 20:57:31+00:00,11,11,1685,CC0,True,0,0,citation,6,6,False,"application/pdf,text/tab-separated-values,type/x-r-syntax",4,0,0
3,doi:10.7910/DVN/U6ZBWT,https://doi.org/10.7910/DVN/U6ZBWT,1,2020-08-05 14:44:22+00:00,2020-08-05 14:44:22+00:00,83,83,41,CC0,True,0,0,citation,7,5,False,"application/x-stata-14,application/x-stata-syntax,text/tab-separated-values",2,2,0
4,doi:10.7910/DVN/GAAKFB,https://doi.org/10.7910/DVN/GAAKFB,1,2020-07-31 14:02:44+00:00,2020-07-31 14:02:44+00:00,89,89,100,CC0,True,1,0,citation,8,8,False,"application/x-stata-syntax,text/tab-separated-values",5,0,0
5,doi:10.7910/DVN/J0PGNY,https://doi.org/10.7910/DVN/J0PGNY,1,2020-07-20 13:20:12+00:00,2020-07-20 13:20:12+00:00,100,100,117,CC0,True,1,0,citation,11,11,False,"application/pdf,text/csv,text/plain,text/tab-separated-values,type/x-r-syntax",3,1,0
6,doi:10.7910/DVN/XJP8WL,https://doi.org/10.7910/DVN/XJP8WL,1,2020-06-25 19:23:02+00:00,2020-06-25 19:23:02+00:00,124,124,186,CC0,True,0,0,citation,4,4,False,"application/x-stata-syntax,text/tab-separated-values",2,0,0
7,doi:10.7910/DVN/1IHXRB,https://doi.org/10.7910/DVN/1IHXRB,1,2020-06-16 19:04:53+00:00,2020-06-16 19:04:53+00:00,133,133,272,CC0,True,1,0,citation,6,6,False,application/x-stata-syntax,0,0,0
8,doi:10.7910/DVN/SRXJLN,https://doi.org/10.7910/DVN/SRXJLN,1,2020-06-12 08:41:56+00:00,2020-06-12 08:41:56+00:00,138,138,151,CC0,True,0,0,citation,4,4,False,"application/x-stata-syntax,text/tab-separated-values",3,0,0
9,doi:10.7910/DVN/EI1JMG,https://doi.org/10.7910/DVN/EI1JMG,1,2020-06-05 14:19:18+00:00,2020-06-05 14:19:18+00:00,145,145,120,CC0,True,0,0,citation,20,20,False,"application/pdf,application/vnd.ms-excel,application/x-stata-syntax,text/plain,text/tab-separated-values",12,0,0
10,doi:10.7910/DVN/J7O3EM,https://doi.org/10.7910/DVN/J7O3EM,1,2020-06-04 14:26:03+00:00,2020-06-04 14:26:03+00:00,146,146,92,CC0,True,1,1,citation,17,17,True,"application/x-stata-smcl,application/x-stata-syntax,text/plain,text/tab-separated-values",10,0,0
