,datasetPID,datasetPIDUrl,numberOfVersions,publicationDate,latestReleaseDate,ageOfDataset(Days),ageOfLastUpdate(Days),descriptionLenth,termsExist,relPubCount,relPubPIDCount,usedMetadataBlocks,numberOfFiles,noFileDescriptionCount,uniqueContentTypes,uningestedTabFilesCount,restrictedFilesCount
12,doi:10.7910/DVN/SYJZNG,https://doi.org/10.7910/DVN/SYJZNG,1,2020-02-27 05:38:17+00:00,2020-02-27 05:38:17+00:00,243,243,1273,True,1,0,citation,27,27,"application/octet-stream,application/x-stata-syntax,text/tab-separated-values,type/x-r-syntax",0,0
13,doi:10.7910/DVN/PDM9UH,https://doi.org/10.7910/DVN/PDM9UH,2,2019-08-15 08:32:52+00:00,2019-08-22 23:58:31+00:00,439,431,1318,True,1,1,citation,4,1,"application/x-rlang-transport,text/plain,type/x-r-syntax",1,0
14,doi:10.7910/DVN/8EHQWP,https://doi.org/10.7910/DVN/8EHQWP,1,2019-04-17 02:06:12+00:00,2019-04-17 02:06:12+00:00,559,559,1216,True,1,1,citation,22,22,"text/tab-separated-values,type/x-r-syntax",0,0
15,doi:10.7910/DVN/J1WQHI,https://doi.org/10.7910/DVN/J1WQHI,1,2019-01-28 19:42:31+00:00,2019-01-28 19:42:31+00:00,638,638,914,True,1,1,citation,6,6,"application/pdf,application/x-stata-syntax,text/tab-separated-values",0,0
16,doi:10.7910/DVN/YCSFSC,https://doi.org/10.7910/DVN/YCSFSC,1,2019-08-16 08:58:46+00:00,2019-08-16 08:58:46+00:00,438,438,1202,True,0,0,citation,8,8,"text/plain; charset=US-ASCII,text/tab-separated-values,type/x-r-syntax",0,0
17,doi:10.7910/DVN/KYBEM4,https://doi.org/10.7910/DVN/KYBEM4,1,2019-04-17 02:04:21+00:00,2019-04-17 02:04:21+00:00,559,559,956,True,1,1,citation,5,0,"application/x-stata-syntax,text/tab-separated-values",0,0
18,doi:10.7910/DVN/ZGM9HF,https://doi.org/10.7910/DVN/ZGM9HF,1,2019-01-28 19:44:52+00:00,2019-01-28 19:44:52+00:00,638,638,1346,True,1,1,citation,6,6,"application/x-stata-syntax,text/tab-separated-values",0,0
19,doi:10.7910/DVN/WOKBPF,https://doi.org/10.7910/DVN/WOKBPF,1,2019-01-28 19:48:54+00:00,2019-01-28 19:48:54+00:00,638,638,1715,True,1,1,citation,2,2,"application/x-stata-syntax,text/tab-separated-values",0,0
20,doi:10.7910/DVN/S3K4RH,https://doi.org/10.7910/DVN/S3K4RH,1,2019-01-28 19:48:15+00:00,2019-01-28 19:48:15+00:00,638,638,1129,True,1,1,citation,6,6,"application/x-rlang-transport,text/tab-separated-values,type/x-r-syntax",2,0
21,doi:10.7910/DVN/FD8O8W,https://doi.org/10.7910/DVN/FD8O8W,1,2019-01-28 19:48:36+00:00,2019-01-28 19:48:36+00:00,638,638,1078,True,1,1,citation,3,3,"application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/x-stata-syntax,text/tab-separated-values",0,0
22,doi:10.7910/DVN/WOED4N,https://doi.org/10.7910/DVN/WOED4N,1,2019-04-17 02:04:54+00:00,2019-04-17 02:04:54+00:00,559,559,1174,True,1,1,citation,6,6,"application/x-stata-syntax,text/tab-separated-values,type/x-r-syntax",0,0
23,doi:10.7910/DVN/3LEWIE,https://doi.org/10.7910/DVN/3LEWIE,1,2019-04-17 02:01:39+00:00,2019-04-17 02:01:39+00:00,559,559,1411,True,1,1,citation,2,2,"application/x-stata-syntax,text/tab-separated-values",0,0
24,doi:10.7910/DVN/GBATE9,https://doi.org/10.7910/DVN/GBATE9,1,2020-03-30 21:16:15+00:00,2020-03-30 21:16:15+00:00,210,210,122,True,1,0,citation,5,5,"application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/x-stata-syntax,text/tab-separated-values",0,0
25,doi:10.7910/DVN/7BLIA3,https://doi.org/10.7910/DVN/7BLIA3,1,2020-01-11 22:12:14+00:00,2020-01-11 22:12:14+00:00,289,289,1697,True,0,0,citation,6,6,"application/x-stata-syntax,text/tab-separated-values,type/x-r-syntax",0,0
26,doi:10.7910/DVN/5PEDGW,https://doi.org/10.7910/DVN/5PEDGW,1,2020-01-11 22:11:39+00:00,2020-01-11 22:11:39+00:00,289,289,1539,True,0,0,citation,3,3,"application/pdf,application/x-stata-syntax,text/tab-separated-values",0,0
27,doi:10.7910/DVN/U3ZQYY,https://doi.org/10.7910/DVN/U3ZQYY,1,2020-01-11 22:08:35+00:00,2020-01-11 22:08:35+00:00,289,289,1103,True,0,0,citation,15,15,"application/gzip,application/pdf,type/x-r-syntax",0,0
28,doi:10.7910/DVN/26HDEO,https://doi.org/10.7910/DVN/26HDEO,1,2020-01-11 22:14:10+00:00,2020-01-11 22:14:10+00:00,289,289,1062,True,0,0,citation,13,13,"text/csv,text/tab-separated-values,type/x-r-syntax",6,0
29,doi:10.7910/DVN/J4WZGT,https://doi.org/10.7910/DVN/J4WZGT,1,2020-01-11 22:13:04+00:00,2020-01-11 22:13:04+00:00,289,289,1697,True,0,0,citation,13,13,"application/x-stata-syntax,text/csv,text/tab-separated-values,type/x-r-syntax",4,0
30,doi:10.7910/DVN/AD8CKP,https://doi.org/10.7910/DVN/AD8CKP,1,2020-01-11 22:09:03+00:00,2020-01-11 22:09:03+00:00,289,289,907,True,0,0,citation,7,7,"application/x-stata-syntax,text/tab-separated-values",0,0
31,doi:10.7910/DVN/HJ9SWF,https://doi.org/10.7910/DVN/HJ9SWF,1,2020-01-11 22:10:01+00:00,2020-01-11 22:10:01+00:00,289,289,1347,True,0,0,citation,2,2,"application/x-stata-syntax,text/tab-separated-values",0,0
32,doi:10.7910/DVN/AUNLOB,https://doi.org/10.7910/DVN/AUNLOB,1,2020-01-11 22:09:31+00:00,2020-01-11 22:09:31+00:00,289,289,1198,True,0,0,citation,2,2,"application/zip,text/plain",0,0
33,doi:10.7910/DVN/SZA9LU,https://doi.org/10.7910/DVN/SZA9LU,1,2020-01-11 22:15:37+00:00,2020-01-11 22:15:37+00:00,289,289,1480,True,0,0,citation,5,5,"application/msword,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/x-stata-syntax,text/tab-separated-values",2,0
34,doi:10.7910/DVN/KPRL5U,https://doi.org/10.7910/DVN/KPRL5U,1,2020-01-11 22:14:39+00:00,2020-01-11 22:14:39+00:00,289,289,2026,True,0,0,citation,3,3,"application/x-stata-syntax,text/tab-separated-values",0,0
35,doi:10.7910/DVN/9HLR8B,https://doi.org/10.7910/DVN/9HLR8B,1,2020-01-11 22:15:04+00:00,2020-01-11 22:15:04+00:00,289,289,802,True,0,0,citation,5,5,"application/x-stata-14,application/x-stata-syntax,text/tab-separated-values",1,0
36,doi:10.7910/DVN/XLYTC7,https://doi.org/10.7910/DVN/XLYTC7,1,2020-01-30 09:35:59+00:00,2020-01-30 09:35:59+00:00,271,271,83,True,0,0,citation,8,8,"application/pdf,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/x-stata-syntax,text/tab-separated-values,type/x-r-syntax",0,0
37,doi:10.7910/DVN/T7PXKJ,https://doi.org/10.7910/DVN/T7PXKJ,1,2020-01-27 07:00:52+00:00,2020-01-27 07:00:52+00:00,274,274,1052,True,0,0,citation,4,0,"text/tab-separated-values,type/x-r-syntax",0,0
38,doi:10.7910/DVN/XJ1UQK,https://doi.org/10.7910/DVN/XJ1UQK,1,2020-03-19 13:28:06+00:00,2020-03-19 13:28:06+00:00,222,222,321,True,0,0,citation,1,1,type/x-r-syntax,0,0
39,doi:10.7910/DVN/EFA6HG,https://doi.org/10.7910/DVN/EFA6HG,1,2020-01-23 06:38:07+00:00,2020-01-23 06:38:07+00:00,278,278,1433,True,0,0,citation,5,5,"application/x-stata-syntax,text/tab-separated-values",0,0
40,doi:10.7910/DVN/3GQTYA,https://doi.org/10.7910/DVN/3GQTYA,1,2019-08-15 08:37:44+00:00,2019-08-15 08:37:44+00:00,439,439,1356,True,1,1,citation,2,2,"application/x-stata-syntax,text/tab-separated-values",0,0
41,doi:10.7910/DVN/SY0FXF,https://doi.org/10.7910/DVN/SY0FXF,1,2019-08-15 08:39:39+00:00,2019-08-15 08:39:39+00:00,439,439,177,True,1,1,citation,5,5,"application/x-stata-syntax,text/tab-separated-values",0,0
42,doi:10.7910/DVN/FSNEZY,https://doi.org/10.7910/DVN/FSNEZY,1,2019-08-15 08:35:11+00:00,2019-08-15 08:35:11+00:00,439,439,1683,True,1,1,citation,106,106,"application/octet-stream,application/rtf,application/x-stata-syntax,text/csv,text/tab-separated-values,type/x-r-syntax",1,0
43,doi:10.7910/DVN/98FIZD,https://doi.org/10.7910/DVN/98FIZD,1,2020-02-26 03:33:55+00:00,2020-02-26 03:33:55+00:00,244,244,91,True,1,0,citation,10,0,"application/pdf,application/x-stata-syntax,text/rtf,text/tab-separated-values,type/x-r-syntax",0,0
44,doi:10.7910/DVN/JXGZKX,https://doi.org/10.7910/DVN/JXGZKX,1,2019-04-17 02:03:32+00:00,2019-04-17 02:03:32+00:00,559,559,1685,True,1,1,citation,8,7,"image/png,text/tab-separated-values,type/x-r-syntax",0,0
45,doi:10.7910/DVN/5DX7DP,https://doi.org/10.7910/DVN/5DX7DP,2,2020-04-07 13:38:51+00:00,2020-06-05 15:01:39+00:00,203,144,109,True,1,0,citation,30,30,"application/gzip,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/x-rlang-transport,text/tab-separated-values,type/x-r-syntax",3,0
46,doi:10.7910/DVN/LRP3SZ,https://doi.org/10.7910/DVN/LRP3SZ,1,2020-04-01 01:31:57+00:00,2020-04-01 01:31:57+00:00,209,209,1025,True,1,0,citation,7,7,"application/pdf,text/rtf,text/tab-separated-values,type/x-r-syntax",0,0
47,doi:10.7910/DVN/W03YWD,https://doi.org/10.7910/DVN/W03YWD,1,2019-04-17 02:02:29+00:00,2019-04-17 02:02:29+00:00,559,559,1323,True,1,1,citation,6,6,"application/x-stata-syntax,text/rtf,text/tab-separated-values,type/x-r-syntax",0,0
