datasetPID,dataverseName,dataverseUrl,datasetPIDUrl,numberOfVersions,numberOfMajorVersions,publicationDate,latestReleaseDate,ageOfDataset(Days),ageOfLastUpdate(Days),descriptionLenth,termsExist,license,termsOfUseExists,termsOfAccessExists,relPubCount,relPubPIDCount,usedMetadataBlocks,numberOfFiles,noFileDescriptionCount,fileTagsExist,uniqueContentTypes,ingestedTabFilesCount,uningestedTabFilesCount,restrictedFilesCount
doi:10.7910/DVN/ALALO7,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/ALALO7,1,1,2019-04-12 18:09:11+00:00,2019-04-12 18:09:11+00:00,565,565,138,False,NONE,False,True,0,0,citation,1228,1218,False,"application/octet-stream,application/x-tar,application/zip",0,0,1227
doi:10.7910/DVN/ZLRXFS,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/ZLRXFS,3,2,2019-05-13 20:23:02+00:00,2019-08-06 18:01:40+00:00,534,449,297,True,NONE,True,True,0,0,citation,141,137,False,"application/octet-stream,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,text/tab-separated-values",3,1,141
doi:10.7910/DVN/P2RTHN,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/P2RTHN,2,1,2019-07-24 20:13:50+00:00,2019-07-24 20:14:45+00:00,462,462,238,True,NONE,True,True,0,0,citation,1,0,False,application/vnd.ms-excel,0,0,1
doi:10.7910/DVN/L3JH6Y,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/L3JH6Y,2,1,2019-07-24 20:35:48+00:00,2019-07-24 20:42:44+00:00,462,462,246,True,NONE,True,True,0,0,citation,1,0,False,text/tab-separated-values,1,0,1
doi:10.7910/DVN/YGHCRG,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/YGHCRG,1,2,2019-09-06 17:46:34+00:00,2019-09-06 17:46:34+00:00,418,418,175,False,NONE,False,True,0,0,citation,83,83,False,"application/octet-stream,application/x-tar,application/zip,text/csv,text/plain",0,18,83
doi:10.7910/DVN/XX3YJ4,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/XX3YJ4,12,7,2017-01-03 18:06:55+00:00,2020-07-20 19:06:47+00:00,1394,100,104,True,NONE,True,True,0,0,citation,72,24,True,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/zip,text/tab-separated-values",61,1,72
doi:10.7910/DVN/COHFWA,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/COHFWA,11,9,2015-08-19 21:32:47+00:00,2019-12-17 18:37:12+00:00,1897,316,449,True,NONE,True,True,0,0,citation,138,5,True,"application/zip,binary/octet-stream,text/tab-separated-values,text/x-fixed-field",12,0,134
doi:10.7910/DVN/QGIQ0F,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/QGIQ0F,1,1,2019-05-28 19:57:24+00:00,2019-05-28 19:57:24+00:00,519,519,260,True,NONE,True,True,0,0,citation,32,32,False,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/zip",0,2,32
doi:10.7910/DVN/K2SSTK,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/K2SSTK,3,1,2018-09-20 15:17:37+00:00,2019-01-09 14:13:09+00:00,769,658,146,True,NONE,True,True,0,0,citation,20,7,False,"application/msword,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,text/plain,text/tab-separated-values",9,2,20
doi:10.7910/DVN/U4WYFT,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/U4WYFT,2,1,2017-10-27 19:55:36+00:00,2017-10-31 20:20:45+00:00,1097,1093,28,True,NONE,True,True,0,0,citation,8,0,False,text/plain,0,0,8
doi:10.7910/DVN/JYZXS8,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/JYZXS8,4,1,2013-03-25 00:00:00+00:00,2017-11-01 19:21:31+00:00,2775,1092,321,True,NONE,True,True,0,0,"citation,geospatial,socialscience",8,0,True,"application/msword,application/octet-stream,application/pdf,application/vnd.ms-excel,text/plain; charset=US-ASCII,text/tab-separated-values",2,0,4
doi:10.7910/DVN/NC3OUF,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/NC3OUF,4,1,2013-03-25 00:00:00+00:00,2017-11-01 19:34:07+00:00,2775,1092,321,True,NONE,True,True,0,0,"citation,geospatial,socialscience",5,0,True,"application/dbf,application/pdf,application/vnd.ms-excel,text/plain; charset=US-ASCII,text/tab-separated-values",1,0,2
doi:10.7910/DVN/AMUDUW,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/AMUDUW,5,2,2015-11-09 15:50:52+00:00,2017-09-19 15:09:02+00:00,1815,1135,260,True,NONE,True,True,0,0,citation,18,0,True,"application/zip,text/plain",0,0,16
doi:10.7910/DVN/TJI3V0,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/TJI3V0,4,1,2013-01-08 00:00:00+00:00,2017-11-01 19:47:13+00:00,2851,1092,323,True,NONE,True,True,0,0,"citation,geospatial,socialscience",6,0,True,"application/msword,application/octet-stream,application/pdf,text/plain; charset=US-ASCII,text/tab-separated-values",1,0,2
doi:10.7910/DVN/MLNGF4,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/MLNGF4,7,4,2013-01-07 00:00:00+00:00,2017-11-01 19:44:41+00:00,2852,1092,321,True,NONE,True,True,0,0,"citation,geospatial,socialscience",6,0,True,"application/msword,application/octet-stream,application/pdf,text/plain; charset=US-ASCII,text/tab-separated-values",1,0,2
doi:10.7910/DVN/BYCNST,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/BYCNST,4,1,2012-12-06 00:00:00+00:00,2018-03-26 18:36:59+00:00,2884,947,232,True,NONE,True,True,0,0,"citation,geospatial,socialscience",14,0,True,"application/msword,application/octet-stream,application/pdf,text/plain; charset=US-ASCII,text/tab-separated-values",2,0,0
doi:10.7910/DVN/MFMHRS,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/MFMHRS,4,1,2007-11-28 00:00:00+00:00,2018-03-26 19:03:32+00:00,4719,947,386,True,NONE,True,True,0,0,"citation,geospatial,socialscience",16,0,True,"application/msword,application/octet-stream,application/zip,text/plain; charset=US-ASCII",0,0,8
doi:10.7910/DVN/M2WNLO,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/M2WNLO,3,2,2020-03-16 21:31:52+00:00,2020-05-04 17:54:51+00:00,226,177,362,True,NONE,True,True,0,0,citation,474,472,False,application/vnd.ms-excel,0,0,474
doi:10.7910/DVN/XAUHMH,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/XAUHMH,8,3,2016-08-26 13:28:37+00:00,2019-09-06 19:37:30+00:00,1524,418,92,True,NONE,True,True,0,0,citation,8,2,False,"application/x-7z-compressed,application/zip",0,0,8
doi:10.7910/DVN/RPO6K9,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/RPO6K9,1,1,2019-08-01 19:53:27+00:00,2019-08-01 19:53:27+00:00,454,454,1422,True,NONE,True,True,0,0,citation,1,1,False,application/pdf,0,0,1
doi:10.7910/DVN/V5QCHR,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/V5QCHR,5,2,2013-03-25 00:00:00+00:00,2017-11-01 19:31:41+00:00,2775,1092,321,True,NONE,True,True,0,0,"citation,geospatial,socialscience",7,0,True,"application/dbf,application/octet-stream,application/pdf,application/vnd.ms-excel,text/plain; charset=US-ASCII,text/tab-separated-values",2,0,4
doi:10.7910/DVN/MWZIQ5,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/MWZIQ5,8,5,2012-11-16 00:00:00+00:00,2017-11-01 19:49:47+00:00,2904,1092,323,True,NONE,True,True,0,0,"citation,geospatial,socialscience",7,0,True,"application/msword,application/octet-stream,application/pdf,text/plain; charset=US-ASCII,text/tab-separated-values",1,0,2
doi:10.7910/DVN/IFY5RS,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/IFY5RS,4,1,2013-03-25 00:00:00+00:00,2017-11-01 19:26:59+00:00,2775,1092,321,True,NONE,True,True,0,0,"citation,geospatial,socialscience",6,0,True,"application/dbf,application/pdf,application/vnd.ms-excel,text/plain; charset=US-ASCII,text/tab-separated-values",1,0,2
doi:10.7910/DVN/GLDDRB,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/GLDDRB,4,1,2012-12-06 00:00:00+00:00,2018-03-26 18:51:14+00:00,2884,947,236,True,NONE,True,True,0,0,"citation,geospatial,socialscience",27,0,True,"application/dbf,application/msword,application/octet-stream,application/pdf,text/plain; charset=US-ASCII,text/tab-separated-values",4,0,8
doi:10.7910/DVN/D3HILR,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/D3HILR,4,1,2012-12-06 00:00:00+00:00,2018-03-26 18:23:45+00:00,2884,947,235,True,NONE,True,True,0,0,"citation,geospatial,socialscience",14,0,True,"application/dbf,application/msword,application/octet-stream,application/pdf,text/plain; charset=US-ASCII,text/tab-separated-values",2,0,0
doi:10.7910/DVN/OUUBLW,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/OUUBLW,3,1,2018-04-26 18:24:50+00:00,2019-08-06 17:56:43+00:00,916,449,742,True,NONE,True,True,0,0,citation,6,5,False,"application/octet-stream,application/pdf,application/warc,text/plain,text/plain; charset=US-ASCII",0,0,6
doi:10.7910/DVN/51SIMV,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/51SIMV,3,1,2015-10-11 13:06:18+00:00,2017-09-19 15:30:46+00:00,1844,1135,1536,True,NONE,True,True,0,0,citation,2,0,True,"application/vnd.ms-excel.sheet.macroEnabled.12,application/vnd.oasis.opendocument.spreadsheet",0,0,2
doi:10.7910/DVN/AZVZ6T,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/AZVZ6T,1,1,2018-10-15 17:17:48+00:00,2018-10-15 17:17:48+00:00,744,744,70,True,NONE,True,True,0,0,citation,3,0,False,application/pdf,0,0,3
doi:10.7910/DVN/EF3UJM,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/EF3UJM,2,2,2018-04-12 20:58:27+00:00,2018-07-26 15:46:13+00:00,930,825,29,True,NONE,True,True,0,0,citation,3,1,False,application/zip,0,0,3
