installation_name,known_hostname,working_installation_url,installation_status,something_blocking_api_use,API_token_used,get_installation_version_api_status,dataverse_version,dataverse_version_sanitized,search_api_status,dataset_count,dataset_count_range,sample_dataset_pid,get_dataverse_json_export_api_status,get_metadatablocks_api_status,datacite_client_id
CIDACS,dataverse.cidacs.org,https://dataverse.cidacs.org,200,FALSE,FALSE,OK,5.11.1,5.11.1,OK,232,100–499,doi:10.57833/cidacs/BFXSYB,OK,OK,fiocruz.hzbrhl
Dartmouth Dataverse,dataverse.dartmouth.edu,https://dataverse.dartmouth.edu,200,FALSE,FALSE,OK,6.10.1,6.10.1,OK,94,0–99,doi:10.21989/D9/LED2UF,OK,OK,dartlib.tdi
DeiC Dataverse,dataverse.deic.dk,https://dataverse.deic.dk,200,FALSE,FALSE,OK,6.6,6.6,OK,10,0–99,doi:10.60612/DATADK/U1UHSM,OK,OK,vznx.mjhyql
Florida International University Research Data Portal,dataverse.fiu.edu,https://dataverse.fiu.edu,200,FALSE,FALSE,OK,6,6,OK,119,100–499,doi:10.34703/gzx1-9v95/SNTAEG,OK,OK,fiu.library
DataPB,dataverse.ideal.ufpb.br,https://dataverse.ideal.ufpb.br,200,FALSE,FALSE,OK,6.3,6.3,OK,49,0–99,doi:10.71650/DATAPB/AUBIHO,OK,OK,ufpb.pbwdfw
Italian Institute of Technology (IIT),dataverse.iit.it,https://dataverse.iit.it,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,51,0–99,doi:10.48557/AIO2LN,OK,OK,iidt.iit
Repositório de Datos Pontificia Universidad Javeriana,dataverse.javeriana.edu.co,https://dataverse.javeriana.edu.co,200,FALSE,FALSE,OK,6.6,6.6,OK,9,0–99,doi:10.60790/RQ3BSP,OK,OK,ckhe.geqtgq
NYCU Dataverse,dataverse.lib.nycu.edu.tw,https://dataverse.lib.nycu.edu.tw,200,FALSE,FALSE,OK,5.10.1,5.10.1,OK,290,100–499,doi:10.57770/HDHL1B,OK,OK,gtfe.kagikv
UNB Libraries Dataverse,dataverse.lib.unb.ca,https://dataverse.lib.unb.ca,200,FALSE,FALSE,OK,6.9,6.9,OK,119,100–499,doi:10.25545/UKF6MH,OK,OK,unewb.bchavb
Libra Data,dataverse.lib.virginia.edu,https://dataverse.lib.virginia.edu,200,FALSE,FALSE,OK,6.9,6.9,OK,516,500–999,doi:10.18130/V3/QGVZHW,OK,OK,uva.libra
NIOZ Dataverse,dataverse.nioz.nl,https://dataverse.nioz.nl,200,FALSE,FALSE,OK,4.2,4.2,OK,227,100–499,doi:10.25850/nioz/7b.b.vk,OK,OK,nioz.das
Open Forest Data,dataverse.openforestdata.pl,https://dataverse.openforestdata.pl,200,FALSE,FALSE,OK,4.2,4.2,OK,79785,"10,000–99,999",doi:10.48370/OFD/QQLPH7,OK,OK,psnc.ibspan
RSU Dataverse,dataverse.rsu.lv,https://dataverse.rsu.lv,200,FALSE,FALSE,OK,6.10.1,6.10.1,OK,168,100–499,doi:10.48510/FK2/NBDPPO,OK,OK,xxuc.czmxkb
ACSS Dataverse,dataverse.theacss.org,https://dataverse.theacss.org,200,FALSE,FALSE,OK,6.10.1,6.10.1,OK,193,100–499,doi:10.25825/FK2/A7D3HZ,OK,OK,gdcc.odum-dv
UCLA Dataverse,dataverse.ucla.edu,https://dataverse.ucla.edu,200,FALSE,FALSE,OK,5.14,5.14,OK,390,100–499,doi:10.25346/S6HW3IQD,OK,OK,cdl.ucla
UD Dataverse,dataverse.udel.edu,https://dataverse.udel.edu,200,FALSE,FALSE,OK,6.10.1,6.10.1,OK,2,0–99,doi:10.82252/FL8WNA,OK,OK,lwpg.yplgqx
ULiège Open Data Repository,dataverse.uliege.be,https://dataverse.uliege.be,200,FALSE,FALSE,OK,5.11.1,5.11.1,OK,55,0–99,doi:10.58119/ULG/ESYDU2,OK,OK,ulg.prod
UNC Dataverse,dataverse.unc.edu,https://dataverse.unc.edu,200,FALSE,TRUE,OK,6.8,6.8,OK,27932,"10,000–99,999",doi:10.15139/S3/GWNFDS,OK,OK,gdcc.odum-dv
Università degli Studi di Milano,dataverse.unimi.it,https://dataverse.unimi.it,405,FALSE,FALSE,OK,6.7.1,6.7.1,OK,683,500–999,doi:10.13130/RD_UNIMI/BO6RRC,OK,OK,crui.unimi
Repositório de Datos Académicos RDA-UNR,dataverse.unr.edu.ar,https://dataverse.unr.edu.ar,200,FALSE,FALSE,OK,5.10.1,5.10.1,OK,60,0–99,doi:10.57715/UNR/V8RLSD,OK,OK,undr.undr
VTTI,dataverse.vtti.vt.edu,https://dataverse.vtti.vt.edu,200,FALSE,FALSE,OK,5.10.1,5.10.1,OK,214,100–499,doi:10.15787/VTT1/FOZRSM,OK,OK,vt.vttidata
MBLWHOI Library Dataverse,dataverse.whoi.edu,https://dataverse.whoi.edu,200,FALSE,FALSE,OK,6.10.1,6.10.1,OK,31,0–99,doi:10.26027/DATAUTOIPF,OK,OK,wh.dataverse
Yale Dataverse,dataverse.yale.edu,https://dataverse.yale.edu,200,FALSE,FALSE,OK,6.10.1,6.10.1,OK,264,100–499,doi:10.60600/YU/OQDK2P,OK,OK,yale.xutdzp
Repositório de datos de investigación de la Universidad de Chile,datos.uchile.cl,https://datos.uchile.cl,200,FALSE,FALSE,OK,5.13,5.13,OK,145,100–499,doi:10.34691/UCHILE/LZVCGP,OK,OK,uchile.dataverse
Repositório de Datos de Investigación USACH,datos.usach.cl,https://datos.usach.cl,200,FALSE,FALSE,OK,5.13,5.13,OK,24,0–99,doi:10.60547/USACH/5JUVNP,OK,OK,usach.dataverse
Repositório de datos de Investigación UdeA,datosdeinvestigacion.udea.edu.co,https://datosdeinvestigacion.udea.edu.co,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,441,100–499,doi:10.82116/ZEMWZ3,OK,OK,udea.datos
Datos para Resiliencia,datospararesiliencia.cl,https://datospararesiliencia.cl,200,FALSE,FALSE,OK,6.10.1,6.10.1,OK,113,100–499,doi:10.71578/PGKMIR,OK,OK,gimy.pdd
BioData.pt Data Management Portal (DMPortal),dmportal.biodata.pt,https://dmportal.biodata.pt,200,FALSE,FALSE,OK,4.2,4.2,OK,44,0–99,doi:10.34636/DMPortal/FOJ7N0,OK,OK,fct.biodata
DataverseLV,dv.dataverse.lv,https://dv.dataverse.lv,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,69,0–99,doi:10.71782/DATA/UMUCFZ,OK,OK,etoe.bzcums
Dataverse e-cienciaDatos,edatos.consorciomadrono.es,https://edatos.consorciomadrono.es,200,FALSE,FALSE,OK,6.11 ConsorcioMadroño_1.3,6.11,OK,1876,"1,000–4,999",doi:10.21950/18WUEC,OK,OK,gdcc.consorcio
Data INRAe/Recherche Data Gouv,entrepot.recherche.data.gouv.fr,https://entrepot.recherche.data.gouv.fr,200,FALSE,FALSE,OK,6,6,OK,6773,"5,000–9,999",doi:10.57745/VUDUMU,OK,OK,rdg.prod
The Henryk Niewodniczański Institute of Nuclear Physics Polish Academy of Sciences,ifj.rodbuk.pl,https://ifj.rodbuk.pl,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,89,0–99,doi:10.48733/IFJPAN/UDHJBE,OK,OK,dpqa.azkqnf
Indata,indata.cedia.edu.ec,https://indata.cedia.edu.ec,200,FALSE,FALSE,OK,6.2,6.2,OK,3,0–99,doi:10.48661/PIUR7N,OK,OK,cedia.cedia
KEEN Data Management Platform,infraverse.zih.tu-dresden.de,https://infraverse.zih.tu-dresden.de,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,22,0–99,doi:10.57826/AGIMO/VSS6LJ,OK,OK,kiyb.keen
"Ministerio de las Culturas, las Artes y los Saberes",investigacionartes.mincultura.gov.co,https://investigacionartes.mincultura.gov.co,200,FALSE,FALSE,OK,6.9,6.9,OK,126,100–499,doi:10.82294/DVNBDWLET,OK,OK,ijmf.tbqlkk
ISSDA Dataverse,issda.ucd.ie,https://issda.ucd.ie,405,FALSE,FALSE,OK,6.2,6.2,OK,222,100–499,doi:10.7929/ISSDA/N7CBTV,OK,OK,issda.data
DANS Data Station Life Sciences,lifesciences.datastations.nl,https://lifesciences.datastations.nl,200,FALSE,FALSE,OK,6.9,6.9,OK,1099,"1,000–4,999",doi:10.17026/LS/AKGXRM,OK,OK,dans.archive
DataverseUA,opendata.nas.gov.ua,https://opendata.nas.gov.ua,200,FALSE,FALSE,OK,6.2,6.2,OK,47,0–99,doi:10.48788/DVUA/PPDOFP,OK,OK,srik.kau
Peking University,opendata.pku.edu.cn,https://opendata.pku.edu.cn,200,TRUE,FALSE,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,OK,493,100–499,doi:10.18170/DVN/WJU8NN,OK,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,tib.pku
osnaData,osnadata.ub.uni-osnabrueck.de,https://osnadata.ub.uni-osnabrueck.de,200,FALSE,FALSE,OK,5,5,OK,77,0–99,doi:10.26249/FK2/PK9YDR,OK,OK,hrrv.nqxtbh
PAPYRUS,papyrus-datos.co,https://papyrus-datos.co,200,FALSE,FALSE,OK,6.8,6.8,OK,221,100–499,doi:10.82190/SLARDF,OK,OK,ejiy.kbtdec
DANS Data Station Physical and Technical Sciences,phys-techsciences.datastations.nl,https://phys-techsciences.datastations.nl,200,FALSE,FALSE,OK,6.9,6.9,OK,889,500–999,doi:10.17026/PT/I702CL,OK,OK,dans.archive
RODBUK PK,pk.rodbuk.pl,https://pk.rodbuk.pl,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,49,0–99,doi:10.58099/PK/OI8EUU,OK,OK,pk.shvoyf
