deposit_id	deposit_type	deposit_createdate	deposit_publicationdate	deposit_parent_dataverse	user_account_id_of_deposit	user_account_createdate	user_account_type	affiliation	account_email_domain
2741434	Dataset	2015-12-13	2015-12-13	2741420	13028	2000-01-01	builtin	University of Melbourne	unimelb.edu.au
2742367	Dataset	2015-12-15	2015-12-15	1823	5568	2000-01-01	builtin	Bioversity International	cgiar.org
2743225	Dataset	2015-12-16	2015-12-16	1	12151	2000-01-01	builtin		gmail.com
2747183	Dataset	2015-12-19	2015-12-19	1	13122	2000-01-01	builtin		hsc.utah.edu
2764914	Dataset	2015-12-26	2016-03-23	1419	13146	2000-01-01	shib	Penn State	psu.edu
3347087	Dataset	2019-01-24	2019-01-25	3339294	24876	2018-09-30	shib	Harvard University	g.harvard.edu
2743221	Dataset	2015-12-16	2015-12-17	1308	3991	2000-01-01	builtin	University of Neuchâtel	unine.ch
2745592	Dataset	2015-12-18	2015-12-18	2675843	11386	2000-01-01	builtin	Cornell 	cornell.edu
2769038	Dataset	2015-12-29	2016-01-24	1	13164	2000-01-01	builtin	Konkuk University	konkuk.ac.kr
2770615	Dataset	2016-01-07	2016-01-07	1	4500	2000-01-01	builtin	Harvard	fas.harvard.edu
2770624	Dataset	2016-01-07	2016-01-07	1	13203	2000-01-01	builtin	South Dakota State University	sdstate.edu
2770627	Dataset	2016-01-07	2016-01-07	2712328	12577	2000-01-01	builtin	Backyard Brains	backyardbrains.com
2772006	Dataset	2016-01-08	2016-01-08	2771980	13211	2000-01-01	builtin		hotmail.com
2775374	Dataset	2016-01-12	2016-01-12	2753418	13130	2000-01-01	builtin	University of San Francisco	usfca.edu
2775364	Dataset	2016-01-12	2016-01-12	2753418	13130	2000-01-01	builtin	University of San Francisco	usfca.edu
2775583	Dataset	2016-01-14	2016-01-14	2722817	3329	2000-01-01	builtin	World Agroforestry Centre	cgiar.org
2775699	Dataset	2016-01-15	2016-01-27	1771	5132	2000-01-01	builtin	Avahan	popcouncil.org
2776253	Dataset	2016-01-20	2016-03-11	1900	5263	2000-01-01	builtin	University of Alabama	gmail.com
2777930	Dataset	2016-01-24	2016-01-24	1900	6468	2000-01-01	shib	North Dakota State University	ndsu.edu
2799153	Dataset	2016-03-30	2016-08-07	1419	13859	2000-01-01	builtin	University of Michigan	umich.edu
2777904	Dataset	2016-01-23	2016-01-23	863	12302	2000-01-01	builtin	University of Iowa	uiowa.edu
2777951	Dataset	2016-01-25	2016-01-25	473	861	2000-01-01	builtin		ifw-kiel.de
